date,ticks_window1,ticks_window2
2021-07-23,520,555
2021-07-24,261,301
2021-07-25,134,378
2021-07-26,585,571
2021-07-27,561,585
2021-07-28,575,588
2021-07-29,564,592
2021-07-30,553,580
2021-07-31,452,244
2021-08-01,279,331
2021-08-02,443,528
2021-08-03,502,519
2021-08-04,561,560
2021-08-05,491,532
2021-08-06,544,520
2021-08-07,387,374
2021-08-08,585,518
2021-08-09,529,596
2021-08-10,565,561
2021-08-11,502,512
2021-08-12,580,566
2021-08-13,571,583
2021-08-14,239,394
2021-08-15,453,347
2021-08-16,545,472
2021-08-17,533,561
2021-08-18,569,579
2021-08-19,507,546
2021-08-20,416,463
2021-08-21,169,348
2021-08-22,468,509
2021-08-23,586,415
2021-08-24,550,449
2021-08-25,590,474
2021-08-26,586,578
2021-08-27,515,567
2021-08-28,215,248
2021-08-29,297,331
2021-08-30,520,565
2021-08-31,394,569
2021-09-01,567,560
2021-09-02,504,548
2021-09-03,564,591
2021-09-04,252,412
2021-09-05,303,324
2021-09-06,485,594
2021-09-07,565,560
2021-09-08,598,597
2021-09-09,540,569
2021-09-10,526,520
2021-09-11,389,265
2021-09-12,279,308
2021-09-13,600,599
2021-09-14,501,569
2021-09-15,568,566
2021-09-16,578,546
2021-09-17,594,584
2021-09-18,525,417
2021-09-19,272,488
2021-09-20,547,600
2021-09-21,598,556
2021-09-22,549,562
2021-09-23,560,594
2021-09-24,569,600
2021-09-25,386,383
2021-09-26,472,385
2021-09-27,354,594
2021-09-28,589,553
2021-09-29,474,451
2021-09-30,504,511
2021-10-01,547,587
2021-10-02,488,573
2021-10-03,579,554
2021-10-04,529,524
2021-10-05,504,583
2021-10-06,582,579
2021-10-07,596,596
2021-10-08,581,590
2021-10-09,363,593
2021-10-10,585,597
2021-10-11,535,553
2021-10-12,598,582
2021-10-13,595,554
2021-10-14,571,538
2021-10-15,566,507
